#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179095E+00   0.112719E+07   0.112202E+07  -0.118504E+01  -0.118505E+01   0.000000E+00   0.112632E+07   0.112632E+07   0.112632E+07  -0.253022E-01   0.549496E+06   0.549470E+06   0.501132E-01
   0.218747E+00   0.836856E+06   0.832082E+06  -0.589654E+00  -0.589656E+00   0.000000E+00   0.836055E+06   0.836055E+06   0.836055E+06  -0.187815E-01   0.407885E+06   0.407856E+06   0.436256E-01
   0.267178E+00   0.636677E+06   0.633450E+06  -0.300739E+00  -0.300739E+00   0.000000E+00   0.636135E+06   0.636135E+06   0.636135E+06  -0.142904E-01   0.310350E+06   0.310332E+06   0.229998E-01
   0.326332E+00   0.474641E+06   0.472272E+06  -0.150288E+00  -0.150288E+00   0.000000E+00   0.474244E+06   0.474244E+06   0.474244E+06  -0.106536E-01   0.231368E+06   0.231355E+06   0.136203E-01
   0.398583E+00   0.350257E+06   0.348477E+06  -0.743395E-01  -0.743397E-01   0.000000E+00   0.349958E+06   0.349958E+06   0.349958E+06  -0.786159E-02   0.170733E+06   0.170723E+06   0.841318E-02
   0.486830E+00   0.257559E+06   0.256263E+06  -0.366434E-01  -0.366435E-01   0.000000E+00   0.257342E+06   0.257342E+06   0.257342E+06  -0.578103E-02   0.125549E+06   0.125541E+06   0.498396E-02
   0.594615E+00   0.188190E+06   0.187243E+06  -0.179472E-01  -0.179473E-01   0.000000E+00   0.188031E+06   0.188031E+06   0.188031E+06  -0.422400E-02   0.917342E+05   0.917289E+05   0.298220E-02
   0.726265E+00   0.136783E+06   0.136095E+06  -0.874408E-02  -0.874410E-02   0.000000E+00   0.136667E+06   0.136667E+06   0.136667E+06  -0.307014E-02   0.666754E+05   0.666716E+05   0.177213E-02
   0.887062E+00   0.989365E+05   0.984391E+05  -0.423957E-02  -0.423958E-02   0.000000E+00   0.988530E+05   0.988530E+05   0.988530E+05  -0.222067E-02   0.482272E+05   0.482244E+05   0.104928E-02
   0.108346E+01   0.712509E+05   0.708928E+05  -0.204663E-02  -0.204663E-02   0.000000E+00   0.711908E+05   0.711908E+05   0.711908E+05  -0.159926E-02   0.347317E+05   0.347296E+05   0.619001E-03
   0.132334E+01   0.511091E+05   0.508523E+05  -0.984077E-03  -0.984079E-03   0.000000E+00   0.510660E+05   0.510660E+05   0.510660E+05  -0.114717E-02   0.249135E+05   0.249120E+05   0.363983E-03
   0.161633E+01   0.365280E+05   0.363445E+05  -0.471454E-03  -0.471454E-03   0.000000E+00   0.364972E+05   0.364972E+05   0.364972E+05  -0.819888E-03   0.178058E+05   0.178048E+05   0.213466E-03
   0.197419E+01   0.260204E+05   0.258897E+05  -0.225117E-03  -0.225118E-03   0.000000E+00   0.259984E+05   0.259984E+05   0.259984E+05  -0.584040E-03   0.126838E+05   0.126831E+05   0.124955E-03
   0.241128E+01   0.184790E+05   0.183862E+05  -0.107166E-03  -0.107166E-03   0.000000E+00   0.184634E+05   0.184634E+05   0.184634E+05  -0.414770E-03   0.900772E+04   0.900719E+04   0.730731E-04
   0.294515E+01   0.130868E+05   0.130210E+05  -0.508737E-04  -0.508738E-04   0.000000E+00   0.130758E+05   0.130758E+05   0.130758E+05  -0.293739E-03   0.637924E+04   0.637887E+04   0.427416E-04
   0.359721E+01   0.924425E+04   0.919778E+04  -0.240887E-04  -0.240887E-04   0.000000E+00   0.923645E+04   0.923645E+04   0.923645E+04  -0.207491E-03   0.450616E+04   0.450589E+04   0.250451E-04
   0.439365E+01   0.651452E+04   0.648175E+04  -0.113791E-04  -0.113791E-04   0.000000E+00   0.650901E+04   0.650901E+04   0.650901E+04  -0.146221E-03   0.317554E+04   0.317534E+04   0.147335E-04
   0.536641E+01   0.458081E+04   0.455774E+04  -0.536350E-05  -0.536351E-05   0.000000E+00   0.457693E+04   0.457693E+04   0.457693E+04  -0.102818E-03   0.223294E+04   0.223280E+04   0.872679E-05
